GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPRINGProject,com.medeiros.SPRINGProject,SpringProjectApplication,8,0,0,0,3,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.Controllers,LogController,0,7,0,0,0,2,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AuthController,34,26,2,4,7,8,2,4,1,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,PagesController,0,25,0,0,0,6,0,2,0,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MusicController,7,49,0,0,2,12,1,4,1,4
SPRINGProject,com.medeiros.SPRINGProject.Controllers,ForumController,18,18,0,0,4,4,2,2,2,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,UserAccountController,53,20,2,0,16,3,4,2,3,2
SPRINGProject,com.medeiros.SPRINGProject.Controllers,MarketController,30,19,0,0,5,5,1,3,1,3
SPRINGProject,com.medeiros.SPRINGProject.Controllers,AppController,119,0,0,0,25,0,6,0,6,0
SPRINGProject,com.medeiros.SPRINGProject.Security,JwtUtil,92,17,7,1,23,7,6,3,2,3
SPRINGProject,com.medeiros.SPRINGProject.Models,CommentsModel,54,0,0,0,24,0,14,0,14,0
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Credentials,21,22,0,0,9,10,6,4,6,4
SPRINGProject,com.medeiros.SPRINGProject.Models,MusicModel,59,15,0,0,26,6,17,1,17,1
SPRINGProject,com.medeiros.SPRINGProject.Models,ProductModel,52,18,0,0,23,7,15,1,15,1
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumChatModel,31,12,0,0,14,5,9,1,9,1
SPRINGProject,com.medeiros.SPRINGProject.Models,User_Info,59,27,0,0,26,10,17,1,17,1
SPRINGProject,com.medeiros.SPRINGProject.Models,LogModel,42,3,0,0,18,2,10,1,10,1
SPRINGProject,com.medeiros.SPRINGProject.Models,ForumIndexModel,38,15,0,0,17,6,11,1,11,1
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.utils,hashMapFunctions,40,0,2,0,8,0,3,0,2,0
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmData,32,0,0,0,12,0,9,0,9,0
SPRINGProject,com.medeiros.SPRINGProject.algorithm,algorithmBlender,54,0,2,0,13,0,3,0,2,0
